State,Action,Value
"(1, 1)","(1, 2)",-8.130618090803923
"(1, 1)","(2, 1)",-8.135955643097944
"(1, 2)","(1, 3)",-7.9835297951592805
"(1, 2)","(1, 1)",-7.988836782997459
"(1, 2)","(2, 2)",-7.977957800034888
"(1, 3)","(1, 4)",-7.8950165232751575
"(1, 3)","(1, 2)",-7.921591505572375
"(1, 4)","(1, 3)",-7.829572022246331
"(1, 4)","(2, 4)",-7.8076733396128795
"(1, 5)","(1, 6)",-6.122422390221701
"(1, 6)","(1, 7)",-6.148615917842468
"(1, 6)","(1, 5)",-6.113412351190347
"(1, 6)","(2, 6)",-6.104562291804524
"(1, 7)","(1, 8)",-6.058737912197109
"(1, 7)","(1, 6)",-6.048087367434887
"(1, 8)","(1, 9)",-5.96175593806767
"(1, 8)","(1, 7)",-5.957713246152929
"(1, 9)","(1, 10)",-5.816286447504731
"(1, 9)","(1, 8)",-5.873227667868202
"(1, 10)","(1, 9)",-5.690026626747781
"(1, 10)","(2, 10)",-5.699035834997484
"(2, 1)","(1, 1)",-8.134059304129861
"(2, 2)","(1, 2)",-7.852118088700709
"(2, 2)","(3, 2)",-7.810056230044771
"(2, 3)","(3, 3)",-7.497913612575082
"(2, 4)","(2, 5)",-7.698761088372094
"(2, 4)","(1, 4)",-7.74443570939346
"(2, 5)","(2, 4)",-7.613218764146074
"(2, 5)","(3, 5)",-7.594236756770512
"(2, 6)","(1, 6)",-6.213775175177066
"(2, 6)","(3, 6)",-6.213294303537189
"(2, 7)","(2, 8)",-5.791183945005211
"(2, 7)","(3, 7)",-5.835668801540812
"(2, 8)","(2, 7)",-5.569128828464393
"(2, 8)","(3, 8)",-5.562250912950684
"(2, 9)","(2, 10)",-5.333381934507205
"(2, 9)","(3, 9)",-5.37655689534808
"(2, 10)","(2, 9)",-5.510587569458683
"(2, 10)","(1, 10)",-5.586297128383148
"(3, 1)","(3, 2)",-7.5178357364417465
"(3, 1)","(4, 1)",-7.473804354290183
"(3, 2)","(3, 3)",-7.628666959791431
"(3, 2)","(3, 1)",-7.6294131304822335
"(3, 2)","(2, 2)",-7.65368080117151
"(3, 3)","(3, 4)",-7.4889744388030515
"(3, 3)","(3, 2)",-7.502420486874876
"(3, 3)","(2, 3)",-7.496169865448855
"(3, 4)","(3, 5)",-7.41160586669945
"(3, 4)","(3, 3)",-7.382710782022128
"(3, 4)","(4, 4)",-7.331435031467054
"(3, 5)","(3, 4)",-7.4778581483458115
"(3, 5)","(2, 5)",-7.4994178632745445
"(3, 6)","(3, 7)",-6.315249149918268
"(3, 6)","(2, 6)",-6.326358274802084
"(3, 6)","(4, 6)",-6.316387995093266
"(3, 7)","(3, 6)",-6.037076951933046
"(3, 7)","(2, 7)",-6.014759355196929
"(3, 7)","(4, 7)",-6.014812641865118
"(3, 8)","(3, 9)",-5.306933237634257
"(3, 8)","(2, 8)",-5.335815781049851
"(3, 8)","(4, 8)",-5.297427210499539
"(3, 9)","(3, 10)",-5.183589225827405
"(3, 9)","(3, 8)",-5.185413845506495
"(3, 9)","(2, 9)",-5.2128863052022725
"(3, 10)","(3, 9)",-4.9166133422058556
"(3, 10)","(4, 10)",-4.868554478380541
"(4, 1)","(4, 2)",-7.30952275017239
"(4, 1)","(3, 1)",-7.342910928977977
"(4, 1)","(5, 1)",-7.298102947556823
"(4, 2)","(4, 3)",-7.139515038343707
"(4, 2)","(4, 1)",-7.194877522701112
"(4, 3)","(4, 2)",-6.999753527091332
"(4, 3)","(5, 3)",-6.96668677704162
"(4, 4)","(4, 5)",-7.111143512268697
"(4, 4)","(3, 4)",-7.1516303858147126
"(4, 5)","(4, 6)",-6.867435984190374
"(4, 5)","(4, 4)",-6.999036384113215
"(4, 6)","(4, 5)",-6.61887641085645
"(4, 6)","(3, 6)",-6.603985991801515
"(4, 7)","(3, 7)",-5.743653692956333
"(4, 7)","(5, 7)",-5.710791785899714
"(4, 8)","(3, 8)",-5.1023193125291595
"(4, 8)","(5, 8)",-5.060580165271766
"(4, 9)","(4, 10)",-4.489017951476112
"(4, 9)","(5, 9)",-4.481287868687911
"(4, 10)","(4, 9)",-4.51725638025015
"(4, 10)","(3, 10)",-4.5342378575710995
"(4, 10)","(5, 10)",-4.4877825611091735
"(5, 1)","(4, 1)",-7.244802379290594
"(5, 1)","(6, 1)",-7.177225927831612
"(5, 2)","(6, 2)",-6.797613552406503
"(5, 3)","(5, 4)",-6.768253308035084
"(5, 3)","(4, 3)",-6.842679168390798
"(5, 4)","(5, 3)",-6.644757533282465
"(5, 4)","(6, 4)",-6.515565884734748
"(5, 5)","(5, 6)",-5.384480834961163
"(5, 6)","(5, 7)",-5.378783980512605
"(5, 6)","(5, 5)",-5.371313129260768
"(5, 7)","(5, 6)",-5.365373014774073
"(5, 7)","(4, 7)",-5.388982402932469
"(5, 7)","(6, 7)",-5.363007321803497
"(5, 8)","(5, 9)",-4.782761067658424
"(5, 8)","(4, 8)",-4.83581447434905
"(5, 9)","(5, 8)",-4.515009009153938
"(5, 9)","(4, 9)",-4.422758335925538
"(5, 9)","(6, 9)",-4.453158093113983
"(5, 10)","(4, 10)",-4.082639036159281
"(5, 10)","(6, 10)",-4.037698127989944
"(6, 1)","(5, 1)",-7.084793236204495
"(6, 1)","(7, 1)",-7.093972667774989
"(6, 2)","(6, 3)",-6.812584447412554
"(6, 2)","(5, 2)",-6.7937525149674425
"(6, 2)","(7, 2)",-6.803189610922472
"(6, 3)","(6, 2)",-6.707114784920456
"(6, 3)","(7, 3)",-6.678191211849286
"(6, 4)","(6, 5)",-6.245587024699402
"(6, 4)","(5, 4)",-6.280768388949352
"(6, 4)","(7, 4)",-6.245159739531864
"(6, 5)","(6, 6)",-5.9141562289918195
"(6, 5)","(6, 4)",-6.020310281285714
"(6, 6)","(6, 5)",-5.812164105167665
"(6, 6)","(7, 6)",-5.515834934420276
"(6, 7)","(5, 7)",-5.087607878111684
"(6, 7)","(7, 7)",-4.962404586901367
"(6, 8)","(6, 9)",-4.079805283464355
"(6, 9)","(6, 10)",-4.024653884308245
"(6, 9)","(6, 8)",-4.079306281328019
"(6, 9)","(5, 9)",-4.031011290016504
"(6, 10)","(6, 9)",-3.7635392898574547
"(6, 10)","(5, 10)",-3.7816788918334856
"(6, 10)","(7, 10)",-3.435791898804494
"(7, 1)","(7, 2)",-6.996174598446752
"(7, 1)","(6, 1)",-6.998279969602267
"(7, 2)","(7, 1)",-6.885136116771755
"(7, 2)","(6, 2)",-6.90498665363421
"(7, 3)","(7, 4)",-6.53043645256611
"(7, 3)","(6, 3)",-6.575183891214255
"(7, 3)","(8, 3)",-6.51559839237912
"(7, 4)","(7, 3)",-6.400954992520824
"(7, 4)","(6, 4)",-6.399605457666836
"(7, 4)","(8, 4)",-6.409975874754278
"(7, 5)","(8, 5)",-6.4012643994947105
"(7, 6)","(6, 6)",-5.406404084952343
"(7, 6)","(8, 6)",-5.070894100931908
"(7, 7)","(7, 8)",-4.506364631392616
"(7, 7)","(6, 7)",-4.5646547983449235
"(7, 7)","(8, 7)",-4.51895677504479
"(7, 8)","(7, 9)",-4.018867578207356
"(7, 8)","(7, 7)",-4.082266957646134
"(7, 9)","(7, 8)",-3.5750491547940313
"(7, 9)","(8, 9)",-3.424262265987749
"(7, 10)","(6, 10)",-3.6830215301962927
"(7, 10)","(8, 10)",-2.7096280288721357
"(8, 1)","(8, 2)",-6.462228717430763
"(8, 1)","(9, 1)",-6.4387603229772035
"(8, 2)","(8, 3)",-6.476723521368948
"(8, 2)","(8, 1)",-6.439311888484622
"(8, 2)","(9, 2)",-6.4964438983579065
"(8, 3)","(8, 2)",-6.502637057898897
"(8, 3)","(7, 3)",-6.484493246107029
"(8, 4)","(7, 4)",-6.444307855898856
"(8, 4)","(9, 4)",-6.489345970823661
"(8, 5)","(7, 5)",-6.389870771569167
"(8, 5)","(9, 5)",-6.410419964209353
"(8, 6)","(8, 7)",-4.583439988464969
"(8, 6)","(7, 6)",-4.809366977643093
"(8, 6)","(9, 6)",-4.575049077284198
"(8, 7)","(8, 8)",-4.081181218609438
"(8, 7)","(8, 6)",-4.173961900568196
"(8, 7)","(7, 7)",-4.217501313667643
"(8, 8)","(8, 9)",-3.436159704127321
"(8, 8)","(8, 7)",-3.945645415280428
"(8, 9)","(8, 10)",-2.7099881517992648
"(8, 9)","(8, 8)",-3.1661061518467326
"(8, 9)","(7, 9)",-3.1626621865704627
"(8, 10)","(8, 9)",-3.140355114880009
"(8, 10)","(7, 10)",-3.0996469058688154
"(8, 10)","(9, 10)",-1.8999999376723307
"(9, 1)","(8, 1)",-6.462316228476473
"(9, 1)","(10, 1)",-6.433056000338298
"(9, 2)","(9, 3)",-6.540019015345233
"(9, 2)","(8, 2)",-6.449381796281594
"(9, 2)","(10, 2)",-6.4749056920900605
"(9, 3)","(9, 4)",-6.531361765318372
"(9, 3)","(9, 2)",-6.506660607751351
"(9, 4)","(9, 3)",-6.500220521301595
"(9, 4)","(8, 4)",-6.503400541124829
"(9, 5)","(8, 5)",-6.392389768806921
"(9, 5)","(10, 5)",-6.4090774769106655
"(9, 6)","(9, 7)",-4.034155839972089
"(9, 6)","(8, 6)",-4.306423299386987
"(9, 7)","(9, 8)",-3.4122215188776406
"(9, 7)","(9, 6)",-3.7415692279566803
"(9, 8)","(9, 7)",-3.3693428237015994
"(9, 8)","(10, 8)",-2.701685007468685
"(9, 9)","(9, 10)",-1.7038533661663093
"(9, 10)","(9, 9)",-2.055897511349667
"(9, 10)","(8, 10)",-2.3914644964512513
"(9, 10)","(10, 10)",-0.9999999928358169
"(10, 1)","(10, 2)",-6.436244255083853
"(10, 1)","(9, 1)",-6.458515146280161
"(10, 2)","(10, 3)",-6.4605727378455455
"(10, 2)","(10, 1)",-6.45471952731074
"(10, 2)","(9, 2)",-6.472659307909602
"(10, 3)","(10, 4)",-6.464284272031307
"(10, 3)","(10, 2)",-6.474071254624679
"(10, 4)","(10, 5)",-6.4922571275311745
"(10, 4)","(10, 3)",-6.47859450147577
"(10, 5)","(10, 6)",-6.428211320249897
"(10, 5)","(10, 4)",-6.51021692457175
"(10, 5)","(9, 5)",-6.398933703578109
"(10, 6)","(10, 7)",-6.438310722675427
"(10, 6)","(10, 5)",-6.442954592363383
"(10, 7)","(10, 6)",-6.449654989663807
"(10, 8)","(10, 9)",-1.8971748643758037
"(10, 8)","(9, 8)",-2.7748966533222723
"(10, 9)","(10, 10)",-0.9995432240925493
"(10, 9)","(10, 8)",-1.817719684303298
"(10, 10)","(10, 9)",0
"(10, 10)","(9, 10)",0
